#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getAlignmentStats_makeTmpDir		command	1	2048	0	1			mkdir -p /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml.tmpdir
getAlignmentStats_generateStats_000		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/GetAlignmentStats --ref /home/duan/Desktop/bioinfomatic/fa/chr20.fa --output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml --align-file /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam
getAlignmentStats_generateStats_001		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/GetAlignmentStats --ref /home/duan/Desktop/bioinfomatic/fa/chr20.fa --output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.001.xml --align-file /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam
getAlignmentStats_mergeStats		command	1	2048	0	1	getAlignmentStats_generateStats_001,getAlignmentStats_generateStats_000		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/MergeAlignmentStats --output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml --align-stats-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml --align-stats-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.001.xml
getAlignmentStats_removeTmpDir		command	1	2048	0	1	getAlignmentStats_mergeStats		rm -rf /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml.tmpdir
summarizeStats		command	1	2048	0	1	getAlignmentStats_mergeStats		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/SummarizeAlignmentStats --align-stats /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml --output-file /home/duan/Desktop/NGS_results/manta/0.5/results/stats/alignmentStatsSummary.txt
getChromDepth_makeTmpDir		command	1	2048	0	1			mkdir -p /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt.tmpdir
getChromDepth_sample000_makeTmpDir		command	1	2048	0	1	getChromDepth_makeTmpDir		mkdir -p /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir
getChromDepth_sample000_estimateChromDepth_000_chr20		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/GetChromDepth --ref /home/duan/Desktop/bioinfomatic/fa/chr20.fa --align-file /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --output /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_000_chr20 --chrom chr20
getChromDepth_sample000_catChromDepth		command	1	2048	0	1	getChromDepth_sample000_estimateChromDepth_000_chr20		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/cat.py --output /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_000_chr20
getChromDepth_mergeChromDepth		command	1	2048	0	1	getChromDepth_sample000_catChromDepth		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/mergeChromDepth.py --out /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt --in /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt
getChromDepth_removeTmpDir		command	1	2048	0	1	getChromDepth_mergeChromDepth		rm -rf /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt.tmpdir
makeGraphTmpDir		command	1	2048	0	1	getAlignmentStats_mergeStats,getChromDepth_mergeChromDepth		mkdir -p /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin.tmpdir
makeLocusGraph_chromId_000_chr20_0000		command	1	1536	0	0	makeGraphTmpDir		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/EstimateSVLoci --output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_chr20_0000.bin --align-stats /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml --region chr20:1-10740695 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/duan/Desktop/bioinfomatic/fa/chr20.fa --align-file /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --tumor-align-file /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam --chrom-depth /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt
makeLocusGraph_chromId_000_chr20_0001		command	1	1536	0	0	makeGraphTmpDir		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/EstimateSVLoci --output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_chr20_0001.bin --align-stats /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml --region chr20:10740696-21481390 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/duan/Desktop/bioinfomatic/fa/chr20.fa --align-file /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --tumor-align-file /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam --chrom-depth /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt
makeLocusGraph_chromId_000_chr20_0002		command	1	1536	0	0	makeGraphTmpDir		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/EstimateSVLoci --output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_chr20_0002.bin --align-stats /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml --region chr20:21481391-32222085 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/duan/Desktop/bioinfomatic/fa/chr20.fa --align-file /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --tumor-align-file /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam --chrom-depth /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt
makeLocusGraph_chromId_000_chr20_0003		command	1	1536	0	0	makeGraphTmpDir		/home/duan/Desktop/bioinfomatic/manta-1.6.0.centos6_x86_64/libexec/EstimateSVLoci --output-file /home/duan/Desktop/NGS_results/manta/0.5/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_chr20_0003.bin --align-stats /home/duan/Desktop/NGS_results/manta/0.5/workspace/alignmentStats.xml --region chr20:32222086-42962779 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/duan/Desktop/bioinfomatic/fa/chr20.fa --align-file /home/duan/Desktop/bioinfomatic/NGS/normal.sim.srt.bam --tumor-align-file /home/duan/Desktop/bioinfomatic/NGS/0.5sim.srt.bam --chrom-depth /home/duan/Desktop/NGS_results/manta/0.5/workspace/chromDepth.txt
